Date,Owner,Repository,Path,Count,Uniques
2026-01-12T13:45:49.735Z,mongodb,sample-app-nodejs-mflix,/mongodb/sample-app-nodejs-mflix/blob/main/server/src/controllers/movieController.ts,36,19
2026-01-12T13:45:49.735Z,mongodb,sample-app-nodejs-mflix,/mongodb/sample-app-nodejs-mflix/blob/main/server/src/app.ts,34,20
2026-01-12T13:45:49.735Z,mongodb,sample-app-nodejs-mflix,/mongodb/sample-app-nodejs-mflix/blob/main/server/.env.example,25,19
2026-01-12T13:45:49.735Z,mongodb,sample-app-nodejs-mflix,/mongodb/sample-app-nodejs-mflix/tree/main/server/src/config,22,21
2026-01-12T13:45:49.735Z,mongodb,sample-app-nodejs-mflix,/mongodb/sample-app-nodejs-mflix/tree/main/server/src/controllers,21,19
2026-01-12T13:45:51.259Z,mongodb,sample-app-python-mflix,/mongodb/sample-app-python-mflix,102,86
2026-01-12T13:45:51.259Z,mongodb,sample-app-python-mflix,/mongodb/sample-app-python-mflix/tree/main/server,20,17
2026-01-12T13:45:51.259Z,mongodb,sample-app-python-mflix,/mongodb/sample-app-python-mflix/tree/main/client,11,9
2026-01-12T13:45:51.259Z,mongodb,sample-app-python-mflix,/mongodb/sample-app-python-mflix/blob/main/server/main.py,9,9
2026-01-12T13:45:51.259Z,mongodb,sample-app-python-mflix,/mongodb/sample-app-python-mflix/tree/main/server/src,9,8
2026-01-12T13:45:51.259Z,mongodb,sample-app-python-mflix,/mongodb/sample-app-python-mflix/tree/main/client/app,9,5
2026-01-12T13:45:51.259Z,mongodb,sample-app-python-mflix,/mongodb/sample-app-python-mflix/blob/main/server/src/database/mongo_client.py,8,7
2026-01-12T13:45:51.259Z,mongodb,sample-app-python-mflix,/mongodb/sample-app-python-mflix/tree/main,6,5
2026-01-12T13:45:51.259Z,mongodb,sample-app-python-mflix,/mongodb/sample-app-python-mflix/tree/main/server/src/database,5,5
2026-01-12T13:45:51.259Z,mongodb,sample-app-python-mflix,/mongodb/sample-app-python-mflix/blob/main/server/requirements.txt,5,3
2025-01-13T21:38:28.523Z,mongodb,docs-notebooks,/mongodb/docs-notebooks,22,3
2025-01-13T21:38:28.523Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/blob/b9b4525d22ebdebd62b666deaaf2b4c550ad8413/quantization/new-data.ipynb,13,1
2025-01-13T21:38:28.523Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/pull/2,11,2
2025-01-13T21:38:28.523Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/blob/main/quick-start.ipynb,10,2
2025-01-13T21:38:28.523Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/pull/2/files,10,2
2025-01-13T21:38:28.523Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/blob/66212ec71594172caaae9cfe7d1e00f9309b9c26/quantization/existing-data.ipynb,9,1
2025-01-13T21:38:28.523Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/blob/b9b4525d22ebdebd62b666deaaf2b4c550ad8413/quantization/existing-data.ipynb,9,1
2025-01-13T21:38:28.523Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/pulls,8,2
2025-01-13T21:38:28.523Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/graphs/traffic,7,3
2025-01-13T21:38:28.523Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/blob/66212ec71594172caaae9cfe7d1e00f9309b9c26/quantization/new-data.ipynb,7,1
2025-01-27T19:44:19.954Z,mongodb,docs-notebooks,/mongodb/docs-notebooks,98,35
2025-01-27T19:44:19.954Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/blob/main/get-started/quick-start.ipynb,76,48
2025-01-27T19:44:19.954Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/tree/main/create-embeddings,57,23
2025-01-27T19:44:19.954Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/blob/main/create-embeddings/open-source-existing-data.ipynb,27,13
2025-01-27T19:44:19.954Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/pull/3,23,2
2025-01-27T19:44:19.954Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/blob/main/integrations/langchain.ipynb,20,8
2025-01-27T19:44:19.954Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/pull/3/files,20,2
2025-01-27T19:44:19.954Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/tree/main/run-queries,18,7
2025-01-27T19:44:19.954Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/pulls,17,2
2025-01-27T19:44:19.954Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/blob/main/create-embeddings/openai-new-data.ipynb,14,8
2025-02-10T14:16:37.641Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/blob/main/get-started/quick-start.ipynb,64,50
2025-02-10T14:16:37.641Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/tree/main/create-embeddings,23,19
2025-02-10T14:16:37.641Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/blob/main/integrations/langchain-hybrid-search.ipynb,18,12
2025-02-10T14:16:37.641Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/pull/8,16,3
2025-02-10T14:16:37.641Z,mongodb,docs-notebooks,/mongodb/docs-notebooks,15,7
2025-02-10T14:16:37.641Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/blob/main/use-cases/rag.ipynb,12,9
2025-02-10T14:16:37.641Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/blob/main/use-cases/local-rag.ipynb,8,7
2025-02-10T14:16:37.641Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/blob/main/create-embeddings/open-source-existing-data.ipynb,7,7
2025-02-10T14:16:37.641Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/blob/main/create-embeddings/open-source-new-data.ipynb,7,7
2025-02-10T14:16:37.641Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/blob/main/run-queries/semantic-search.ipynb,6,5
2025-02-24T14:28:48.939Z,mongodb,docs-notebooks,/mongodb/docs-notebooks,260,201
2025-02-24T14:28:48.939Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/blob/main/get-started/quick-start.ipynb,92,69
2025-02-24T14:28:48.939Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/tree/main/create-embeddings,48,31
2025-02-24T14:28:48.939Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/blob/main/use-cases/local-rag.ipynb,39,17
2025-02-24T14:28:48.939Z,mongodb,docs-notebooks,/mongodb/docs-notebooks/blob/main/use-cases/rag.ipynb,34,24
